lon, lat
-122.3455263, 37.9621457
-122.4194155, 37.7749295
-122.1817252, 37.4529598
-122.2711137, 37.8043637
-122.4194155, 37.7749295
-122.2711137, 37.8043637
-122.4194155, 37.7749295
-122.3255254, 37.5629917
-122.4194155, 37.7749295
-122.1817252, 37.4529598
-122.1817252, 37.4529598
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.2711137, 37.8043637
-122.5697032, 38.1074198
-122.4869194, 37.6138253
-122.2711137, 37.8043637
-122.4194155, 37.7749295
-122.272747, 37.8715926
-122.4194155, 37.7749295
-122.2566367, 38.1040864
-122.2363548, 37.48521520000001
-122.4194155, 37.7749295
-122.1180201, 37.8857582
-122.2711137, 37.8043637
-122.4285862, 37.4635519
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.272747, 37.8715926
-122.4194155, 37.7749295
-121.9885719, 37.5482697
-122.1796888, 37.8771476
-122.2711137, 37.8043637
-122.2416355, 37.7652065
-122.3255254, 37.5629917
-122.1796888, 37.8771476
-122.0807964, 37.6688205
-122.4194155, 37.7749295
-122.3255254, 37.5629917
-122.4194155, 37.7749295
-122.3255254, 37.5629917
-122.3255254, 37.5629917
-122.272747, 37.8715926
-122.4194155, 37.7749295
-122.2711137, 37.8043637
-122.2711137, 37.8043637
-122.4194155, 37.7749295
-122.5697032, 38.1074198
-122.310765, 37.9161326
-122.5616448, 37.9746458
-122.4194155, 37.7749295
-122.272747, 37.8715926
-122.4194155, 37.7749295
-122.0863522, 37.6940973
-122.2711137, 37.8043637
-122.2711137, 37.8043637
-122.4194155, 37.7749295
-122.3455263, 37.9621457
-122.2566367, 38.1040864
-122.272747, 37.8715926
-122.0838511, 37.3860517
-122.3255254, 37.5629917
-122.4194155, 37.7749295
-122.34809, 37.5778696
-122.2711137, 37.8043637
-122.3255254, 37.5629917
-122.272747, 37.8715926
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.2711137, 37.8043637
-122.5274755, 37.9254806
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.272747, 37.8715926
-122.4077498, 37.654656
-122.4194155, 37.7749295
-122.5310874, 37.9735346
-122.5449763, 37.9060368
-122.0807964, 37.6688205
-122.1817252, 37.4529598
-122.2711137, 37.8043637
-122.4194155, 37.7749295
-122.2711137, 37.8043637
-122.2977475, 37.88687
-122.4194155, 37.7749295
-122.5310874, 37.9735346
-122.4194155, 37.7749295
-122.0607963, 37.9479786
-122.272747, 37.8715926
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.272747, 37.8715926
-122.2711137, 37.8043637
-122.0651819, 37.9100783
-122.1560768, 37.7249296
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.2711137, 37.8043637
-122.2711137, 37.8043637
-122.0863522, 37.6940973
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.272747, 37.8715926
-122.2566367, 38.1040864
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.310765, 37.9161326
-122.2363548, 37.48521520000001
-122.4194155, 37.7749295
-122.272747, 37.8715926
-122.34809, 37.5778696
-122.4194155, 37.7749295
-122.0838511, 37.3860517
-122.272747, 37.8715926
-122.2363548, 37.48521520000001
-122.5697032, 38.1074198
-122.4194155, 37.7749295
-122.272747, 37.8715926
-122.2711137, 37.8043637
-122.4194155, 37.7749295
-122.2605222, 37.5071591
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.5449763, 37.9060368
-122.4194155, 37.7749295
-122.2566367, 38.1040864
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.3255254, 37.5629917
-122.4194155, 37.7749295
-122.0651819, 37.9100783
-122.1244088, 37.6810422
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.2605222, 37.5071591
-122.2711137, 37.8043637
-122.4194155, 37.7749295
-122.5697032, 38.1074198
-122.4194155, 37.7749295
-122.1817252, 37.4529598
-122.2758008, 37.5202145
-122.3477486, 37.9357576
-122.4869194, 37.6138253
-122.4194155, 37.7749295
-122.2852473, 37.831316
-122.272747, 37.8715926
-122.2363548, 37.48521520000001
-122.0807964, 37.6688205
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.2710788, 37.5585465
-122.4194155, 37.7749295
-122.2363548, 37.48521520000001
-122.2711137, 37.8043637
-122.5310874, 37.9735346
-122.4194155, 37.7749295
-122.4194155, 37.7749295
-122.2416355, 37.7652065
